тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);Идентификатор
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта;38 ОП МЗ 38Н-086;35.623521;51.502956;35.473039;51.610108;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта – Новосергеевка;38 ОП МЗ 38Н-087 ;35.546078;51.493532;35.524040;51.483310;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта – Аннино-Гусиновка;38 ОП МЗ 38Н-088;35.565071;51.486710;35.575748;51.481036;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта – Сопеловка;38 ОП МЗ 38Н-089;35.496539;51.535380;35.589892;51.531294;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта – Колпаково – Иванино;38 ОП МЗ 38Н-090;35.530280;51.506785;35.574539;51.631741;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Костельцево – Мухино;38 ОП МЗ 38Н-173;35.555806;51.828921;35.581673;51.844634;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Быки;38 ОП МЗ 38Н-349;35.520162;51.624416;35.507693;51.669154;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Лукашевка;38 ОП МЗ 38Н-357;35.727197;51.663964;35.679728;51.608898;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково;38 ОП МЗ 38Н-362;35.586240;51.651501;35.665184;51.865642;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – Афанасьевка – Рогово;38 ОП МЗ 38Н-363;35.561694;51.783382;35.632188;51.788614;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – Дроняево;38 ОП МЗ 38Н-364;35.586169;51.703061;35.612481;51.717888;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – Костельцево – Запрутье;38 ОП МЗ 38Н-365;35.570964;51.798424;35.550191;51.835217;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – Макаровка – Льгов;38 ОП МЗ 38Н-366;35.570194;51.694961;35.473964;51.729021;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – санаторий Сосновый бор – санаторий Курск;38 ОП МЗ 38Н-371;35.743851;51.666929;35.757664;51.677808;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – санаторий Сосновый бор – санаторий Курск;38 ОП МЗ 38Н-371 ответвление;35.743851;51.666929;35.752977;51.687808;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Чапли – Благодатное;38 ОП МЗ 38Н-376;35.486380;51.615027;35.537807;51.568564;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск ;38 ОП МЗ 38Н-377;35.498469;51.602629;35.480120;51.594897;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;граница с Украиной – Чапли – Благодатное – Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта;38 ОП МЗ 38Н-437;35.476709;51.789925;35.562392;51.788207;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Льгов – Конышевка – Ольшанка – Мармыжи – Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково;38 ОП МЗ 38Н-480;35.618562;51.503009;35.607463;51.519247;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Никольский – Рязаново;38 ОП МЗ 38Н-575;35.638325;51.697590;35.711894;51.758780;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Сейм – Мосолово – Нижнее Сосково;38 ОП МЗ 38Н-576;35.694272;51.708260;35.749344;51.702934;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Сейм – Мосолово – Нижнее Сосково – Золотухино;38 ОП МЗ 38Н-752;35.528124;51.691794;35.519567;51.697742;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – Макаровка – Льгов – подъезд к санаторию в с. Макаровка;38 ОП МЗ 38Н-781;35.577956;51.769681;35.602152;51.758354;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – Афанасьевка – Рогово – Дурнево;38 ОП МЗ 38Н-796;35.574316;51.647133;35.546340;51.669685;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Иванино – СНТ Иванинское – СНТ Металлист;38 ОП МЗ 38Н-797;35.564168;51.770456;35.544842;51.766635;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Льгов – Рыльск – граница с Украиной – Николаевка – Ширково – СНТ Строитель-2;38 ОП МЗ 38Н-803;35.704278;51.754385;35.730275;51.744122;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Нижнее Сосково – СНТ Березуцкое;38 ОП МЗ 38Н-806;35.470034;51.636062;35.466922;51.624938;
