тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Бобрава – Гочево – Обоянь – Суджа;38 ОП МЗ 38Н-019;35.846557;51.154804;35.853315;51.159532;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Зорино – Пересыпь;38 ОП МЗ 38Н-209;36.283840;51.201143;36.456071;51.093895;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Камынино – Знобиловка;38 ОП МЗ 38Н-218;36.283278;51.165120;36.373641;51.132491;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Котельниково – Полукотельниково – Потопахино;38 ОП МЗ 38Н-220;36.194335;51.291588;36.322066;51.327662;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Нижнее Солотино;38 ОП МЗ 38Н-225;36.283214;51.172724;36.237952;51.185113;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Пасечный;38 ОП МЗ 38Н-228;36.207477;51.266385;36.231220;51.269437;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Чекмаревка – Садовая Роща;38 ОП МЗ 38Н-254;36.206291;51.268431;36.079454;51.295163;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Пушкарное;38 ОП МЗ 38Н-484;36.272135;51.216977;36.277414;51.227388;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Солнцево – Мантурово – Малые Крюки – Потопахино;38 ОП МЗ 38Н-487;36.313221;51.221324;36.305756;51.341486;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Солнцево – Мантурово – Малые Крюки – Потопахино – Рудавец;38 ОП МЗ 38Н-488;36.333389;51.285557;36.346997;51.256606;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Солнцево – Мантурово – Малые Крюки – Потопахино – Стрелецкое;38 ОП МЗ 38Н-489;36.311404;51.225226;36.285615;51.221151;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Солнцево – Мантурово – Малые Крюки – Потопахино – Малые Крюки;38 ОП МЗ 38Н-490;36.347164;51.318611;36.380131;51.309876;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Анахино;38 ОП МЗ 38Н-501;36.180046;51.199869;36.192969;51.187232;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Бушмено – Бегичево;38 ОП МЗ 38Н-502;35.883354;51.187624;35.912123;51.154862;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Гридасово;38 ОП МЗ 38Н-505;36.097415;51.191895;36.086496;51.221985;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Гридасово – Луневка;38 ОП МЗ 38Н-506;36.094768;51.215501;36.094062;51.227365;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Гридасово – Чекмаревка;38 ОП МЗ 38Н-507;36.086496;51.221985;36.070685;51.277118;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Долженково – Филатово;38 ОП МЗ 38Н-508;36.023387;51.181348;35.851487;51.226560;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Долженково – Филатово – Башкатово;38 ОП МЗ 38Н-509;35.982271;51.191641;35.977388;51.260104;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Долженково – Филатово – Вышнее Бабино – Нижнее Бабино;38 ОП МЗ 38Н-510;35.930590;51.217561;35.780312;51.289356;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Долженково – Филатово – Вышнее Бабино – Нижнее Бабино;38 ОП МЗ 38Н-510 ответвление;35.930590;51.217561;35.807541;51.266104;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Долженково – Филатово – Вышнее Бабино – Нижнее Бабино – Каменка;38 ОП МЗ 38Н-511;35.927251;51.258903;36.051201;51.170536;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Картамышево;38 ОП МЗ 38Н-512;35.963212;51.165109;35.982284;51.141388;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Кочегуровка;38 ОП МЗ 38Н-513;36.209194;51.203502;36.212554;51.216727;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Лунино;38 ОП МЗ 38Н-514;36.154253;51.195012;36.160868;51.186031;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Павловка;38 ОП МЗ 38Н-516;36.134143;51.189767;36.134502;51.148936;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Шмырево;38 ОП МЗ 38Н-522;35.922259;51.153031;35.949084;51.136648;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Шмырево;38 ОП МЗ 38Н-522 ответвление;35.922259;51.153031;35.922949;51.140788;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шевелево – Платоновка;38 ОП МЗ 38Н-725;36.016215;51.259419;35.999180;51.308568;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Афанасьево;38 ОП МЗ 38Н-746;36.283411;51.176505;36.299987;51.162718;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Солнцево – Мантурово – Малые Крюки – Потопахино – Кулига;38 ОП МЗ 38Н-785;36.302986;51.268234;36.293174;51.266484;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Коптево;38 ОП МЗ 38Н-786;36.020217;51.178442;36.032147;51.176303;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Обоянь – Суджа – Гремячка;38 ОП МЗ 38Н-787;35.994588;51.173844;36.006210;51.162929;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Автомобильная дорога Вышнее Бабино – граница Большесолдатского района в Обоянском районе Курской области;38 ОП МЗ 38Н-833;35.779454;51.289802;35.771302;51.289134;
